date,open,high,low,close,volume,amount,outstanding_share,turnover,symbol
2025-03-24,123.4,124.2,122.45,123.63,18048886.0,2417592736.0,3881459458.0,0.0046500256399174275,000858
2025-03-25,123.9,123.99,122.06,122.94,17567115.0,2342967013.0,3881459458.0,0.0045259045444343785,000858
2025-03-26,122.92,123.24,122.33,122.75,10882580.0,1452491544.0,3881459458.0,0.002803734038125821,000858
2025-03-27,122.5,124.06,121.97,123.26,14086564.0,1882916851.0,3881459458.0,0.0036291926148981045,000858
2025-03-28,123.42,123.58,121.88,122.64,12099601.0,1610808297.0,3881459458.0,0.0031172813038306377,000858
2025-03-31,122.62,122.78,120.91,120.91,14485487.0,1912983577.0,3881459458.0,0.003731969161791513,000858
2025-04-01,120.98,121.74,120.72,121.31,12170463.0,1602816957.0,3881459458.0,0.0031355378387157174,000858
2025-04-02,121.39,122.01,120.64,120.72,10102473.0,1328718377.0,3881459458.0,0.00260275113248394,000858
2025-04-03,119.25,122.87,119.1,121.51,16562264.0,2187566525.0,3881459458.0,0.004267019707204165,000858
2025-04-07,118.29,120.08,113.96,116.7,46309272.0,5889478918.0,3881459458.0,0.011930891588872033,000858
2025-04-08,116.7,120.81,116.7,120.37,33185668.0,4295611990.0,3881459458.0,0.008549791221341157,000858
2025-04-09,119.21,122.28,119.07,121.74,29699887.0,3910869675.0,3881459458.0,0.007651731860495449,000858
2025-04-10,121.78,122.88,120.13,122.57,23310636.0,3091985055.0,3881459458.0,0.006005636862174331,000858
2025-04-11,121.69,122.86,120.2,121.14,17429334.0,2296050286.0,3881459458.0,0.004490407329664809,000858
2025-04-14,121.05,122.12,120.6,120.62,12578106.0,1655429086.0,3881459458.0,0.003240560963241678,000858
2025-04-15,120.59,121.0,119.74,120.91,11482502.0,1502439501.0,3881459458.0,0.0029582949723547004,000858
2025-04-16,120.4,122.01,119.37,121.78,16668022.0,2177739510.0,3881459458.0,0.004294266674780247,000858
2025-04-17,120.89,122.42,120.59,121.99,15292281.0,2022126158.0,3881459458.0,0.003939827574002191,000858
2025-04-18,121.52,122.03,120.78,121.28,8947834.0,1179998316.0,3881459458.0,0.002305275656443556,000858
2025-04-21,121.13,121.51,119.79,119.98,14436366.0,1887006445.0,3881459458.0,0.0037193138705198863,000858
2025-04-22,119.85,120.35,119.21,119.76,11585468.0,1507639704.0,3881459458.0,0.0029848226228722857,000858
2025-04-23,120.11,120.31,119.25,119.64,9594427.0,1246940579.0,3881459458.0,0.002471860676072531,000858
2025-04-24,119.48,119.85,118.75,118.8,13152369.0,1703623364.0,3881459458.0,0.003388511239732753,000858
2025-04-25,118.93,119.87,118.71,118.79,10718307.0,1388082600.0,3881459458.0,0.0027614115556221274,000858
2025-04-28,119.77,121.19,119.57,120.45,18504541.0,2422404105.0,3881459458.0,0.004767418338445003,000858
2025-04-29,119.8,120.22,119.01,119.25,12479570.0,1619377345.0,3881459458.0,0.003215174635993841,000858
2025-04-30,119.31,119.94,118.44,118.47,14662657.0,1893634511.0,3881459458.0,0.0037776143635299565,000858
2025-05-06,118.75,119.25,117.89,119.2,14634943.0,1889145118.0,3881459458.0,0.003770474265765215,000858
2025-05-07,120.49,121.33,119.48,119.66,15247040.0,1990960978.0,3881459458.0,0.00392817190672303,000858
2025-05-08,119.4,122.43,119.0,121.32,20802315.0,2735442055.0,3881459458.0,0.005359405456915119,000858
2025-05-09,121.32,121.6,120.6,121.12,11054836.0,1454604448.0,3881459458.0,0.0028481132212305076,000858
2025-05-12,121.51,122.66,121.05,122.4,16456000.0,2182417151.0,3881459458.0,0.004239642376292985,000858
2025-05-13,123.03,123.03,121.9,122.42,12039542.0,1599600056.0,3881459458.0,0.0031018080003864363,000858
2025-05-14,122.16,126.28,121.66,124.51,29148950.0,3932377808.0,3881459458.0,0.007509791179171451,000858
2025-05-15,124.28,124.81,122.99,123.04,14494424.0,1947912221.0,3881459458.0,0.003734271646229829,000858
2025-05-16,122.78,122.97,120.63,120.66,17354288.0,2288769532.0,3881459458.0,0.004471072849732184,000858
