date,symbol,action,confidence,actual_return,equity
60,300750,sell,0.5355,0.026343879424448092,100000.0
61,300750,hold,0.4105,0.036525501289624764,100000.0
62,300750,hold,0.2763,-0.008267779739926161,100000.0
63,300750,hold,0.2763,-0.0071226224200728085,100000.0
64,300750,hold,0.4335,0.00489117143555877,100000.0
65,300750,hold,0.4341,-0.0028392958546280063,100000.0
66,300750,hold,0.4346,-0.004189716889033523,100000.0
67,300750,hold,0.2736,0.04848658143049714,100000.0
68,300750,buy,0.4203,0.012194171731338613,99994.95832
69,300750,buy,0.4185,-0.018475039451907208,100031.07321172617
70,300750,buy,0.4173,0.00929375318614958,99903.75086036141
71,300750,buy,0.4157,0.028440438262491232,99988.78501848907
72,300750,buy,0.4147,0.004420098224405047,100346.4967934206
73,300750,buy,0.4141,-0.0018430059803663786,100412.98203297037
74,300750,buy,0.4142,-0.011040771723566233,100374.18620703342
75,300750,hold,0.4381,-0.002781482187083107,100136.61904820261
76,300750,hold,0.4385,-0.012532477456824198,100077.42996084888
77,300750,hold,0.2732,0.004178919671877356,99811.4844724649
78,300750,hold,0.2739,0.021462700369913663,99899.05188937183
79,300750,hold,0.4399,0.031196951978573462,100350.67273397508
80,300750,buy,0.4086,0.025021949078138626,101017.342899318
81,300750,buy,0.4067,0.0012491077801571118,101632.73905686381
82,300750,buy,0.4059,-0.006309035822491672,101663.91684566425
83,300750,buy,0.4052,-0.008429586053518782,101469.44668724386
84,300750,hold,0.4667,0.012372029085121064,101196.3619210238
85,300750,buy,0.4035,0.019296051456137133,101590.43968596298
86,300750,buy,0.4026,-0.050482033304119114,102257.7751092835
87,300750,hold,0.2832,-0.04500646114085286,100360.95395032893
88,300750,hold,0.2821,-0.005876440114436088,98755.24214979724
89,300750,hold,0.2831,0.012989033211480252,98555.02213857426
90,300750,hold,0.2838,-0.0029176904176903824,98994.97926849846
91,300750,hold,0.2845,-0.0026567072231636164,98894.86926288696
92,300750,hold,0.2847,-0.007373663282245178,98803.97991568704
93,300750,sell,0.5891,0.001672370877411352,98501.60140576618
94,300750,sell,0.5901,0.0006600660066007219,98501.60140576618
95,300750,sell,0.5905,-0.0015520720161416811,98501.60140576618
96,300750,sell,0.5906,0.03932846261464326,98501.60140576618
97,300750,hold,0.2825,0.022995812144780053,98501.60140576618
98,300750,hold,0.2823,0.0027778793084544313,98501.60140576618
99,300750,hold,0.2826,0.008310552214324668,98501.60140576618
100,300750,hold,0.4381,-0.018400028919495263,98501.60140576618
101,300750,hold,0.438,0.008691168888561378,98501.60140576618
102,300750,hold,0.4389,-0.0007301935012777972,98501.60140576618
103,300750,hold,0.4394,0.029338691998538655,98501.60140576618
104,300750,buy,0.3954,0.010790473148049422,98496.93087353423
105,300750,buy,0.396,-0.0027039365101660354,98525.98081193288
106,300750,buy,0.3965,-0.03866197183098598,98504.90474740606
107,300750,hold,0.2848,-0.0032232070910555837,98153.81834492335
108,300750,hold,0.2851,0.10373337252884551,98125.68027259322
109,300750,buy,0.3972,-0.007124546392782189,99024.06989715651
110,300750,buy,0.3973,-0.0037219595614123783,98931.25221931288
111,300750,buy,0.3971,0.020227517501346225,98871.00473127887
112,300750,buy,0.3969,-0.016065714379969006,99225.59777535751
113,300750,hold,0.4774,0.06933547911218403,98893.6693056148
114,300750,buy,0.397,0.000783846491503104,100299.423744481
115,300750,buy,0.3969,-0.016510542310222694,100314.7921224756
116,300750,buy,0.3972,-0.01235983690112129,99870.86937217136
117,300750,hold,0.4786,0.020610243839504536,99517.6776050661
118,300750,buy,0.3969,0.007584615870808637,100095.949764941
119,300750,buy,0.3966,0.09139666907129206,100325.45213002324
120,300750,buy,0.3964,-0.003621001810501042,103556.3833640873
121,300750,buy,0.3968,0.06700124022958674,103396.99374781139
122,300750,buy,0.3965,-0.027085473319997787,106473.33260216773
123,300750,buy,0.3962,0.004362080462324942,105046.851537248
124,300750,buy,0.3953,0.004232482226340902,105279.07824740454
