date,symbol,action,confidence,actual_return,equity
60,000001,buy,0.3635,0.0,99989.091365
61,000001,buy,0.3635,0.01149425287356313,99978.97697774768
62,000001,buy,0.3635,0.028846153846153855,100130.64128498829
63,000001,buy,0.3635,-0.016992353440951513,100711.03118246293
64,000001,buy,0.3635,-0.01037165082108911,100247.47977766034
65,000001,hold,0.3868,0.019213973799126694,99918.46004198046
66,000001,buy,0.3635,0.0008568980291345147,100514.18780383494
67,000001,buy,0.3635,0.002568493150685029,100538.94411770177
68,000001,buy,0.3635,0.020495303159692436,100639.44326166638
69,000001,buy,0.3635,0.014225941422594137,101576.66315687259
70,000001,buy,0.3635,-0.006600660066006607,102295.71286025469
71,000001,buy,0.3635,0.011627906976744234,101925.31237280577
72,000001,buy,0.3635,0.02627257799671595,102599.49419595432
73,000001,buy,0.3635,-0.02079999999999998,104230.09011204883
74,000001,buy,0.3635,0.005718954248366036,102836.52830002161
75,000001,buy,0.3635,-0.019496344435418377,103222.39459421005
76,000001,hold,0.4045,-0.006628003314001663,101837.25748795822
77,000001,hold,0.4045,-0.004170141784820743,101375.54511920761
78,000001,hold,0.4048,0.008375209380234476,101086.97488873849
79,000001,hold,0.4051,-0.006644518272425108,101664.11534967675
80,000001,hold,0.4051,-0.009197324414715819,101202.40298092614
81,000001,hold,0.4028,0.002531645569620349,100567.54847389406
82,000001,hold,0.4003,-0.014309764309764304,100740.69061217555
83,000001,hold,0.3801,0.0,99759.5518285805
84,000001,sell,0.5833,0.009393680614859045,99658.2108981907
85,000001,hold,0.3773,-0.010152284263959475,99658.2108981907
86,000001,sell,0.5881,0.012820512820512851,99658.2108981907
87,000001,hold,0.3753,-0.02109704641350211,99658.2108981907
88,000001,sell,0.5923,0.004310344827586268,99658.2108981907
89,000001,sell,0.5944,0.001716738197424856,99658.2108981907
90,000001,sell,0.5959,0.01371036846615254,99658.2108981907
91,000001,hold,0.3685,-0.0008453085376162119,99658.2108981907
92,000001,hold,0.3685,0.0008460236886632645,99658.2108981907
93,000001,hold,0.3681,-0.005917159763313634,99658.2108981907
94,000001,hold,0.3678,-0.007653061224489784,99658.2108981907
95,000001,hold,0.3671,0.0017137960582690294,99658.2108981907
96,000001,hold,0.3664,-0.005132591958939155,99658.2108981907
97,000001,hold,0.366,-0.005159071367153955,99658.2108981907
98,000001,sell,0.6029,-0.009507346585998222,99658.2108981907
99,000001,sell,0.5549,0.0,99658.2108981907
100,000001,sell,0.5562,-0.001745200698080397,99658.2108981907
101,000001,sell,0.5571,0.0008741258741258555,99658.2108981907
102,000001,sell,0.5582,0.006113537117903955,99658.2108981907
103,000001,hold,0.357,-0.006944444444444451,99658.2108981907
104,000001,sell,0.5596,0.032342657342657434,99658.2108981907
105,000001,hold,0.356,-0.007620660457239615,99658.2108981907
106,000001,hold,0.3553,-0.02389078498293525,99658.2108981907
107,000001,hold,0.353,0.0017482517482518664,99658.2108981907
108,000001,hold,0.3522,-0.002617801047120518,99658.2108981907
109,000001,hold,0.3515,-0.013123359580052524,99658.2108981907
110,000001,sell,0.5224,0.0070921985815602905,99658.2108981907
111,000001,sell,0.5636,-0.019366197183098493,99658.2108981907
112,000001,sell,0.5232,-0.000897666068222602,99658.2108981907
113,000001,sell,0.5237,-0.0008984725965859445,99658.2108981907
114,000001,sell,0.5242,-0.0017985611510790984,99658.2108981907
115,000001,sell,0.5249,0.003603603603603687,99658.2108981907
116,000001,hold,0.3224,0.001795332136445204,99658.2108981907
117,000001,hold,0.5365,0.007168458781362013,99658.2108981907
118,000001,hold,0.5368,-0.010676156583629982,99658.2108981907
119,000001,sell,0.5277,-0.006294964028776845,99658.2108981907
120,000001,sell,0.4017,-0.0009049773755657523,99658.2108981907
121,000001,sell,0.4014,0.0,99658.2108981907
122,000001,sell,0.4018,-0.019927536231883956,99658.2108981907
123,000001,sell,0.4014,0.0036968576709795883,99658.2108981907
124,000001,sell,0.4011,-0.006445672191528572,99658.2108981907
125,000001,sell,0.4008,0.01297497683039857,99658.2108981907
126,000001,hold,0.308,-0.0054894784995425895,99658.2108981907
