date,symbol,action,confidence,actual_return,equity
60,000858,hold,0.4745,0.012398971344599639,100000.0
61,000858,hold,0.2919,0.0036287761952280818,100000.0
62,000858,hold,0.2917,-0.0037964385790472902,100000.0
63,000858,hold,0.2915,-0.004536793394428818,100000.0
64,000858,hold,0.2913,-0.0023698842402697195,100000.0
65,000858,hold,0.2912,-0.0022841480127912287,100000.0
66,000858,hold,0.2912,0.004670329670329587,100000.0
67,000858,hold,0.2913,0.0036459757542612863,100000.0
68,000858,hold,0.2915,0.006448097357188209,100000.0
69,000858,hold,0.2916,-0.003970402454430588,100000.0
70,000858,hold,0.2915,0.007247689798876711,100000.0
71,000858,buy,0.5717,0.006745817593092282,99993.142715
72,000858,buy,0.5712,0.008130081300812978,100017.42766454851
73,000858,buy,0.5707,0.014002126905352696,100084.04278470247
74,000858,buy,0.5707,0.00891452543261664,100262.85350205109
75,000858,buy,0.5305,-0.0032917532917532523,100412.2574996208
76,000858,buy,0.5721,0.0022596905962105934,100337.60406249201
77,000858,buy,0.5321,0.004335761359694762,100388.3241683174
78,000858,buy,0.5329,0.00915213261958213,100504.53008544946
79,000858,buy,0.5338,-0.009839151266255916,100784.53881534291
80,000858,hold,0.2938,0.02428065324462112,100446.76297054952
81,000858,buy,0.4216,-0.0026151510038805656,101265.8088927267
82,000858,buy,0.4229,0.002791169753869562,101157.85098586927
83,000858,buy,0.4233,-0.016025641025641073,101271.93101863714
84,000858,hold,0.4807,0.004200240013715147,100523.80215315295
85,000858,hold,0.3088,-0.004353393085787496,100716.74065004099
86,000858,hold,0.2947,0.008058984910836743,100515.92711246364
87,000858,buy,0.6291,-0.02704541588705556,100878.32168979748
88,000858,hold,0.2933,-0.0012237762237762287,99486.82053171174
89,000858,hold,0.2935,-0.0007001575354454603,99425.55947443753
90,000858,hold,0.4791,0.008582939218777279,99390.55315599512
91,000858,hold,0.4791,0.0016498784300104006,99819.3805569146
92,000858,hold,0.2945,0.003207628955353312,99902.52056321534
93,000858,hold,0.2949,-0.0026788800553059306,100064.42478601148
94,000858,hold,0.2955,0.014123559483580362,99928.77530204714
95,000858,hold,0.3101,-0.006066302118933766,100642.02904031123
96,000858,hold,0.3104,0.0,100331.34796413485
97,000858,hold,0.311,-0.0028367575002148913,100331.34796413485
98,000858,hold,0.2978,0.002068965517241335,100186.94690055991
99,000858,hold,0.3122,0.005333792154163838,100291.96585588713
100,000858,hold,0.3129,0.005305493753209007,100563.26482381581
101,000858,hold,0.3135,0.010980592441266531,100834.56379174447
102,000858,buy,0.4329,-0.002610086722236274,101394.22727781144
103,000858,buy,0.4338,0.002701333783555693,101245.6905829066
104,000858,buy,0.4341,0.03291799966324294,101398.26591018146
105,000858,buy,0.4347,-0.0014671122340858473,103402.73901365417
106,000858,buy,0.4357,-0.023998040976246932,103302.71216772414
107,000858,hold,0.3156,-0.00911599899640369,101670.19971619181
108,000858,hold,0.3157,0.03232613099257257,101064.94850116794
109,000858,buy,0.4362,-0.0050690867467909784,103188.19518870159
110,000858,hold,0.4041,-0.0023831046100747147,102832.22928067621
111,000858,hold,0.4031,-0.015074135090609658,102665.72909789016
112,000858,hold,0.3142,-0.008781466923141234,101615.055530654
113,000858,hold,0.3133,0.010377995275059096,101012.2100412562
114,000858,hold,0.3124,0.017954070981210903,101718.40047169362
115,000858,hold,0.5047,-0.0022969647251845867,102952.79837855577
116,000858,hold,0.3102,-0.005673408978786365,102792.03958138304
117,000858,hold,0.3093,0.003555776068800071,102395.88397406449
118,000858,buy,0.3106,-0.010382333553065302,102640.45851233337
119,000858,hold,0.3075,-0.004246461282264704,101901.09475720843
120,000858,hold,0.3068,-0.006689522535329017,101601.82847537214
121,000858,sell,0.6339,0.0012627325532451508,101027.8676656129
122,000858,sell,0.6343,-0.01597444089456862,101027.8676656129
123,000858,sell,0.6344,0.0011107313738892297,101027.8676656129
124,000858,sell,0.6344,-0.012716565673807245,101027.8676656129
125,000858,sell,0.4211,-0.0025933609958507207,101027.8676656129
126,000858,sell,0.4189,0.0014733922690241092,101027.8676656129
127,000858,sell,0.4177,-0.006923409779316289,101027.8676656129
128,000858,sell,0.4156,-0.01106753812636162,101027.8676656129
129,000858,sell,0.4137,0.014540007049700312,101027.8676656129
130,000858,hold,0.299,-0.003648050030400432,101027.8676656129
131,000858,sell,0.41,-0.0026152907331531442,101027.8676656129
132,000858,sell,0.4083,-0.003583602831920257,101027.8676656129
133,000858,sell,0.4075,-0.00728070175438595,101027.8676656129
134,000858,sell,0.4067,0.01855615445789515,101027.8676656129
135,000858,hold,0.2996,0.0,101027.8676656129
136,000858,hold,0.2999,0.005465428992799598,101027.8676656129
137,000858,hold,0.3005,-0.013546160483175215,101027.8676656129
138,000858,hold,0.5072,-0.005073034199247777,101027.8676656129
139,000858,hold,0.301,0.0005274725274725475,101027.8676656129
